image_path,label,class_name,filename,extension,width,height
test/invoice/00921976.tif,2,invoice,00921976.tif,.tif,760,1000
test/budget/tcal0469476.tif,0,budget,tcal0469476.tif,.tif,754,1000
test/form/522662530+-2530.tif,1,form,522662530+-2530.tif,.tif,754,1000
test/form/2085598636.tif,1,form,2085598636.tif,.tif,754,1000
test/letter/519141239+-1241.tif,3,letter,519141239+-1241.tif,.tif,754,1000
test/specification/2024596841_2024596844.tif,5,specification,2024596841_2024596844.tif,.tif,777,1000
test/invoice/92857120.tif,2,invoice,92857120.tif,.tif,802,1000
test/letter/03698108.tif,3,letter,03698108.tif,.tif,769,1000
test/letter/2063874515.tif,3,letter,2063874515.tif,.tif,754,1000
test/form/509340023+-0024.tif,1,form,509340023+-0024.tif,.tif,754,1000
test/specification/2051530518_2051530521.tif,5,specification,2051530518_2051530521.tif,.tif,829,1000
test/budget/2040738498.tif,0,budget,2040738498.tif,.tif,826,1000
test/budget/tnwl0024770.tif,0,budget,tnwl0024770.tif,.tif,754,1000
test/specification/2031297639.tif,5,specification,2031297639.tif,.tif,774,1000
test/specification/2069737099.tif,5,specification,2069737099.tif,.tif,754,1000
test/invoice/0060057920.tif,2,invoice,0060057920.tif,.tif,762,1000
test/specification/2082697943.tif,5,specification,2082697943.tif,.tif,754,1000
test/memo/0000052023.tif,4,memo,0000052023.tif,.tif,762,1000
test/letter/0000947709.tif,3,letter,0000947709.tif,.tif,777,1000
test/form/500399351.tif,1,form,500399351.tif,.tif,801,1000
test/letter/515215267.tif,3,letter,515215267.tif,.tif,771,1000
test/invoice/2073666811.tif,2,invoice,2073666811.tif,.tif,754,1000
test/form/513385162.tif,1,form,513385162.tif,.tif,771,1000
test/memo/0011903822.tif,4,memo,0011903822.tif,.tif,762,1000
test/invoice/92194985_4986.tif,2,invoice,92194985_4986.tif,.tif,754,1000
test/form/2030396052_2030396053.tif,1,form,2030396052_2030396053.tif,.tif,777,1000
test/specification/2064390189.tif,5,specification,2064390189.tif,.tif,754,1000
test/letter/2001213829.tif,3,letter,2001213829.tif,.tif,777,1000
test/letter/504861120.tif,3,letter,504861120.tif,.tif,777,1000
test/form/2028729507.tif,1,form,2028729507.tif,.tif,777,1000
test/specification/2051534327_2051534328.tif,5,specification,2051534327_2051534328.tif,.tif,782,1000
test/letter/507161936.tif,3,letter,507161936.tif,.tif,787,1000
test/letter/504105139_504105140.tif,3,letter,504105139_504105140.tif,.tif,783,1000
test/specification/2031322655.tif,5,specification,2031322655.tif,.tif,777,1000
test/memo/0060128038.tif,4,memo,0060128038.tif,.tif,762,1000
test/invoice/2063114132.tif,2,invoice,2063114132.tif,.tif,788,1000
test/invoice/2049471789.tif,2,invoice,2049471789.tif,.tif,779,1000
test/invoice/83565700.tif,2,invoice,83565700.tif,.tif,754,1000
test/letter/2041623787.tif,3,letter,2041623787.tif,.tif,777,1000
test/budget/2040769279.tif,0,budget,2040769279.tif,.tif,782,1000
test/specification/2069728816.tif,5,specification,2069728816.tif,.tif,754,1000
test/invoice/0060067329.tif,2,invoice,0060067329.tif,.tif,762,1000
test/invoice/2063116803.tif,2,invoice,2063116803.tif,.tif,774,1000
test/memo/0060339258.tif,4,memo,0060339258.tif,.tif,762,1000
test/budget/2063233847_3858.tif,0,budget,2063233847_3858.tif,.tif,754,1000
test/memo/2065203459.tif,4,memo,2065203459.tif,.tif,754,1000
